ID,Name,Tundra.Nenets,Source,Example,Comment
UT001,Is there a distinct category of dual for verbal agreement with a dual subject?,1,Nikolaeva 2014:191,UT001,
UT002,Is non-agreement in number between the nominal subject and verbal predicate possible?,1,Sven-Erik Soosaar (p.c. 2020),,
UT003,Can finite verbs agree in number with a nominal object?,1,Nikolaeva 2014:79,,"The number of the object is indexed on the verb, e.g., 1SG meə-w° (singular object), 1SG meŋa-xəyu-n° (dual object), 1SG me-yə-n° (plural object); me- ‘to take, to do’."
UT004,Can an adnominal property word agree with the noun in case?,1,Nikolaeva 2014:151,,"However, number concord is more common."
UT005,Is there non-agreement between an adnominal property word and the head noun? ,1,Sven-Erik Soosaar (p.c. 2020),,
UT006,Can adpositions be used to mark core verbal arguments?,0,Sven-Erik Soosaar (p.c. 2020),,
UT008,Can non-finite clauses use a special means for core argument (S/A) marking?,1,Nikolaeva 2014:287,UT008,"In different-subject sentences, the lexical dependent subject is marked with the genitive."
UT009,Can non-finite clauses use a special means for core argument (P) marking?,0,Nikolaeva 2014:61,,The object of transitive verbs is marked with the accusative both in finite as well as non-finite clauses.
UT010,"Do the characteristics of the object referent (topicality, animacy, definiteness) influence object marking?",0,Sven-Erik Soosaar (p.c. 2020),,
UT011,Does object marking correlate with aspectuality?,0,Sven-Erik Soosaar (p.c. 2020),,
UT012,Does object marking depend on the verb conjugation form?,1,Nikolaeva 2014:202,UT012,"Objects are typically marked with the accusative case. However, in the imperative also the nominative case is possible."
UT013,Is there differential subject marking?,0,Sven-Erik Soosaar (p.c. 2020),,
UT014,"Can S and A be conflated morphologically across clause boundaries, i.e., act as a syntactic pivot?",1,Sven-Erik Soosaar (p.c. 2020),,
UT015,"Can S and P be conflated morphologically across clause boundaries, i.e., act as a syntactic pivot?",0,Sven-Erik Soosaar (p.c. 2020),,
UT016,Is there grammatical marking of habituality?,1,Nikolaeva 2014:84,UT016,
UT017,Is there grammatical marking of frequentativity?,1,Nikolaeva 2014:512,"UT017-1, UT017-2","There are the frequentatie-iterative-multiplicative suffixes -or, -ur, -er indicating that a situation is repeated, habitual or dispersive."
UT018,Is there grammatical marking of progressivity?,0,Sven-Erik Soosaar (p.c. 2020),,
UT019,Is it common to use a verb in the present tense for future time reference?,0,Sven-Erik Soosaar (p.c. 2020),,
UT020,Is there grammatical marking of the immediate future?,0,Nikolaeva 2014:83,,The future tense conveys both immediate as well as remote future.
UT021,Is there grammatical marking of the pluperfect?,1,Nikolaeva 2014:81-82,UT021,"Whereas imperfective verbs typically have progressive reading, the perfective verbs usually indicate remote past. In addition, a perfective verb may be used to denote an event, which occurred before another event in the past."
UT022,Can aspect be expressed overtly in the negative marker?,0,Nikolaeva 2014:273,,Aspectual morphology is expressed on the lexical verb.
UT023,Can tense be expressed overtly in the negative marker?,1,Nikolaeva 2014:81,UT023,
UT024,Is there grammatical marking of mirativity?,0,Nikolaeva 2014:95,,The inferential evidential is also used in the mirative or exclamative function.
UT025,Is there morphological marking on the verb dedicated to the expression of a desire or wish?,0,Sven-Erik Soosaar (p.c. 2020),,
UT026,Is there morphological marking on the verb dedicated to irrealis?,1,Sven-Erik Soosaar (p.c. 2020),,
UT027,Are verbs marked with a non-indicative mood in counterfactual conditional clauses?,1,Sven-Erik Soosaar (p.c. 2020),,
UT028,Is there morphological marking on the verb dedicated to the expression of deontic necessity?,1,Nikolaeva 2014:111,UT028,
