ID,Primary_Text,IPA,Analyzed,Gloss,Translation,Example_Source
GB024-1,ɛx̄t kuss,,əːxːt kuːsː,one spruce.NOM.SG,one spruce,Kert 1971:171
GB024-2,n'el̄'j kuz,,ɲeːlʲːj kuːz,four spruces.NOM.PL,four spruces,Kert 1971:171
GB025-1,tɛdḓ n'ij̄t˙,,təːdː n'ij̄t˙,this.NOM.SG girl.NOM.SG,this girl,Kert 1971:282
GB025-2,tɛnn varra,,təːnː vaːrː-a,this.GEN.SG forest-DAT.SG,to this forest,Kert 1971:282
GB027-1,,,Saʃa ja Vʲika čaːlʲː-ew kuːlʲ,Sasha.NOM.SG and Vika.NOM.SG scale-PRS.3PL fish.ACC.SG,Sasha and Vika are scaling the fish,Viktoria Zhukova (p.c. 2024)
GB027-2,,,Saʃa Vʲika-nʲ čaːlʲː-ew kuːlʲ,Sasha.NOM.SG Vika-COM.SG scale-PRS.3PL fish.ACC.SG,Sasha is scaling the fish with Vika ,Viktoria Zhukova (p.c. 2024)
GB047-1,,,vʲiːʥ-e > vʲiːʥ-muʃː,run-INF > run-NMLZ,run > running,Kuruč 1985:43
GB047-2,,,jeːlʲː-e > jaːɫː-muʃː,live-INF > live-NMLZ,live > life,Kuruč 1985:432
GB048-1,,,sʲiːrː-ə > sʲiːrː-əj,play-INF > play-AG,play > player,Kuruč 1985:321
GB048-2,,,kuarː-ə > kuarː-əj,sew-INF > sew-AG,sew > seamstress,Kuruč 1985:127
GB065,cår al'k' kar'ebB,,ʦɒːr alʲgʲ kaːrʲepʲ,tsar.GEN.SG son.GEN.SG ship.NOM.SG,tsar's son's ship,Kert 1961:116
GB070,цоарр коаһч нӣйтэсь.,,ʦɒːrː kɒhʧ nʲiːjt-esʲ,tsar.NOM.SG call.PRS.3SG daughter.ACC.SG-POSS.3,Tsar is calling his daughter,UCKSPT:Yakimovich2015_txt10_100
GB071,мунн тōн вуэрта,,munː toːn wuərt-a,1SG.NOM 2SG.ACC wait-PRS.1SG,I'm waiting for you,UCKSPT:Yakimovich2015_txt4_59
GB072,кэ̄ррсэнне вуэсстэль Стейнер āххкась,,kəːrːs-əɲːe wuəsːt-əlʲ stəjnʲer aːhk-a-sʲ,rude-ADV reply-PFV.PST.3SG Steiner.NOM.SG wife-DAT.SG-POSS.3,Steiner replied rudely to his wife,UCKSPT:Bolshakova2003_txt22_144
GB073,мэ̄нн вуаяк тонн лоајје мыннӭ?,,məːnː wuaj-ak tonː ɫɒːj̥ː-e mɨnʲː-e,what.ACC.SG can-PRS.2SG 2SG.NOM present-INF 1SG-DAT,What can you give me as a present?,UCKSPT:Yakimovich2015_txt10_102
GB074-1,а̄ййт манн кэскэль пӯдзэ пыннем сэенҍ,,аːjːt manː kəskəlʲ puːʣ-ə pɨɲː-em səj-enʲ,hedge.NOM.SG go.PRS.1SG between reindeer-GEN.SG herd-PTCP place-LOC.PL,The hedge runs between pastures,Kuruč 1985:22
GB074-2,вэ̄ннас мэ̄ннэв чӯлл рынт,,wəːnːas məːnː-əw ʧuːɫː rɨnt,boat.NOM.PL go-PRS.1PL along shore.GEN.SG,The boats go along the shore,Kuruč 1985:201
GB075-1,ке̄ тоннӭ цӣӆькэ тэнн баяс?,,kʲeː tonʲː-e ʦʲil̥ʲkʲ-e tənː bajas,who.NOM.SG 2SG-DAT say-PST.3SG this.GEN.SG about,Who told you about it?,Kuruč 1985:17
GB075-2,ча̄р альн кыррьтэ,,ʧaːr alʲnʲ kɨrʲːtʲ-e,tundra on fly-INF,to fly over the tundra,Kuruč 1985:25
GB080-1,ва̄ннҍцэ > ва̄нҍцсэ,,waːnʲʦʲ-s-ə,walk-ATTN-INF,to walk a little bit,Kuruč 1985:37
GB080-2,ва̄нҍцсэгке,,waːnʲʦʲ-s-əgʲːe,walk-ATTN-IMP.PL,Walk a little bit!,Ilya Egorov (p.c. 2024)
GB082-1,са̄рна,,saːrn-a,speak-PRS.1SG,I speak,Kuruč 1985:557
GB082-2,са̄ррнэпь,,saːrːn-əpʲ,speak-PRS.1PL,we speak,Kuruč 1985:557
GB083-1,соа̄ррнэ,,sɒːrːn-ə,speak-PST.1SG,I spoke,Kuruč 1985:558
GB083-2,са̄рнэмь,,saːrn-əmʲ,speak-PST.1PL,we spoke,Kuruč 1985:558
GB089,"Мунн удт кыпта, а тонн мун удт пōрак",,munː udː kɨpt-a a tonː mun udː poːr-ak,1SG.NOM porrige.ACC.SG cook-PRS.1SG and 2SG.NOM 1SG.GEN porrige.ACC.SG eat-PRS.2SG,I cook the porridge and you eat my porridge.,UCKSPT:Yakimovich2015_txt4_55
GB091,"Нестер ва̄ннц, сыйй выйев.",,nʲesʲtʲer waːnːʦ sɨjː wɨjː-ew,Nester.NOM.SG walk.PRS.3SG 3PL.NOM go.by.car-PRS.3PL,"Nester is walking on foot, they are going by wagon",Burov & Egorov 2003:164
GB111,,,waːnʲːʦʲ-bʲedːə : waːnʲʦʲ-s-əbʲːe,walk-PRS.2PL : walk-ATTN-PRS.2PL,you (pl) walk : you (pl) walk a little bit,Ilya Egorov (p.c. 2024)
GB113-1,ря̄гкэ > ря̄гхэ,,rʲaːgː-ə > rʲaːg-x-ə,cry-INF > cry-CAUS-INF,to cry > to make somebody cry,Kuruč 1985:310
GB113-2,уййтэ > уйтхэ,,ujːt-ə > ujt-x-ə,go.away-INF > go.away-CAUS-INF,to go away > to take away,Kuruč 1985:370-371
GB114-1,поҏтэ > поҏтуввэ,,por̥-t-ə > por̥-t-uwː-ə,eat-CAUS-INF > eat-CAUS-REFL-INF,to feed > to feed (myself),Kuruč 1985:266
GB114-2,пэзнэ > пэзнэдтэ,,pəz-n-ə > pəz-n-ədː-ə,wash-IPFV-INF > wash-IPFV-REFL-INF,to wash (face) > to wash (myself),Kuruč 1985:281
GB115-1,уййндэ > уйнлэдтэ,,ujːn-ɫ-ə > ujn-ɫ-ədː-ə,see-PUNCT-INF > see-PUNCT-RECP-INF,"to notice (somebody) > to see (each other), to meet ",Kuruč 1985:370
GB115-2,нӣзнэ > нӣзнэдиэ,,ɲiːz-n-ə > ɲiːz-n-ədː-ə,kiss-IPFV-INF > kiss-IPFV-RECP-INF,to kiss (somebody) > to kiss (each other),Kuruč 1985:214
GB117-1,со̄нн лӣ ва̄птэгк,,soːnː lʲiː vaːptəgː,3SG.NOM be.PRS.3SG rich,He is rich,Burov & Egorov 2023:169
GB117-2,мун аджь лӣ кӯль шыллей,,mun aʥ lʲiː kuːlʲ ʃɨlʲː-ej,1SG.GEN father.NOM.SG be.PRS.3SG fish.GEN.SG catch-AG,My father is a fisherman,UCKSPT:Yakimovich2015_txt15_35
GB120,,,sonː lʲiː ujːn-ma toːn wuərʲːpənʲ,3SG.NOM be.PRS.3SG see-PTCP 2SG.GEN sister.ACC.SG,He has seen your sister,Maria Kosheleva (p.c. 2024)
GB121,,,sonː lʲaːjː ujːn-ma toːn wuərʲːpənʲ,3SG.NOM be.PST.3SG see-PTCP 2SG.GEN sister.ACC.SG,He had seen your sister,Maria Kosheleva (p.c. 2024)
GB130,пе̄ннэ угк,,pʲeːnːə ugː,dog.NOM.SG bark.PRS.3SG,The dog is barking,Kuruč 1985:367
GB132,,,kupʲeʦ sʲiːn ʧuaŋk maːks,merchant.NOM.SG 3PL.GEN pay.PRS.3SG tax.ACC.SG,The merchant pays their taxes,"Archive of the KarSC RAS, fund 1 inventory 5 file 204"
GB134,"куэссь ēннӭсь коаһч сōн туэль туэгка, сōнн гудэль эйй кул.",,kuəsʲː jeːnʲː-esʲ kɒhʧ soːn tuəlʲ tuəgːa soːnː gudəlʲ əjː kuɫ,when mother.NOM.SG-POSS.3 call.PRS.3SG 3SG.ACC table.GEN.SG behind.DAT 3SG.NOM as.if NEG.3SG hear.CNG,"When her mom called her to the table, it was like she didn't hear her",UCKSPT:Yakimovich2015_txt6_12
GB135,"Ӣммель тӣдӭ, пугк ля̄ннч ныдтҍ.",,iːmʲːelʲ tʲiːdʲe pugː lʲaːɲːʧ nɨdʲː,god.NOM.SG know-PST.3SG all be.FUT.3SG so,The Lord knew it was going to be like this,UCKSPT:Bolshakova2003_txt20_32
GB139-1,тыйй ебпе по̄ҏт лоанҍтэтҍ,,tɨjː jebʲːe poːr̥-t ɫɒnʲtʲ-etʲ,2PL.NOM NEG.2PL eat-CAUS.CNG bird-ACC.PL,You (pl) are not feeding the birds,Ilya Egorov (p.c. 2024)
GB139-2,елле по̄ҏтэгке лоанҍтэтҍ,,jelʲːe poːr̥-t-əgʲːe ɫɒnʲtʲ-etʲ,PROH.PL eat-CAUS-IMP.PL bird-ACC.PL,Do not feed the birds!,Ilya Egorov (p.c. 2024)
GB140-1,мунн эмм вӯльк,,munː emː wuːlʲkʲ,1SG.NOM NEG.1SG walk.CNG,I won't go,Ilya Egorov (p.c. 2024)
GB140-2,мунн эмм ля̄ пэҏтэсьт,,munː emː lʲaː pər̥t-əsʲtʲ,1SG.NOM NEG.1SG be.CNG house-LOC.SG,I am not at home,Ilya Egorov (p.c. 2024)
GB140-3,мунн эмм ля̄ кӯлль,,munː emː lʲaː kuːlʲː,1SG.NOM NEG.1SG be.CNG fish.NOM.SG,I am not a fish,Ilya Egorov (p.c. 2024)
GB147,вуаннче > вуанчьюввэ,,wuaɲːʧ-e > wuaɲːʧ-juwː-ə,get-INF > get-PASS-INF,"to get > to be bought, received",Kuruč 1985:51-52
GB155-1,по̄ррэ > по̄ҏтэ,,poːrː-ə > poːr̥-t-ə,eat-INF > eat-CAUS-INF,to eat > to feed,Kuruč 1985:266
GB155-2,куллэ > куӆтэ,,kuɫː-ə > kul̥-t-ə,hear-INF > hear-CAUS-INF,to hear > to notify,Kuruč 1985:132
GB185-1,тэдт пуаз,,tədː puaz,this.NOM.SG reindeer-NOM.SG,this reindeer,Ilya Egorov (p.c. 2024)
GB185-2,тэгк пӯдзэ,,təgː puːʣ-ə,this.NOM.PL reindeer-NOM.PL,these reindeer,Ilya Egorov (p.c. 2024)
GB187-1,пэ̄ҏҏт > пэ̄ҏьтэнч,,pəːr̥ːt > pəːr̥ʲtʲ-eɲʧ,house.NOM.SG > house-DIM.NOM.SG,house > small house,Antonova & Scheller 2021:s.v. пэ̄ҏьтэнч
GB187-2,кӣдт > кӣдӭнч,,kiːdː > kiːdʲ-eɲʧ,hand.NOM.SG > hand-DIM.NOM.SG,hand > small hand,Antonova & Scheller 2021:s.v. кӣдӭнч
GB188-1,пэ̄ҏҏт > пэ̄ҏҏтбе̄hкь,,pəːr̥ːt > pəːr̥ːt-bʲeːhkʲ,house.NOM.SG > house-AUG.NOM.SG,house > big house,Antonova & Scheller 2021:s.v. пэ̄ҏҏтбе̄hкь
GB188-2,кӣдт > кӣдтбе̄hкь,,kiːdː > kiːdː-bʲeːhkʲ,hand.NOM.SG > hand-AUG.NOM.SG,hand > big hand,Antonova & Scheller 2021:s.v. кӣдтбе̄hкь
GB193-1,мо̄джесь нызан,,moːʥ-esʲ nɨzan,beautiful-ATTR woman.NOM.SG,beautiful woman,Kuruč 1985:196
GB193-2,рӯппьсесь нӣр,,ruːpʲːsʲ-esʲ nʲiːr,red-ATTR cheek.NOM.PL,red cheeks,Kuruč 1985:300
GB203,пугк ōллма сыйтэсьт выйтэнҍ олкэс,,,all people.NOM.SG village-LOC.SG go.outside-PST.3PL outdoor,All the people of the village went outside,UCKSPT:Yakimovich2015_txt8_20
GB204-1,югке пуаз,,jugʲːe puaz,each reindeer.NOM.SG,each reindeer,Ilya Egorov (p.c. 2024)
GB204-2,пугк пӯдзэ,,pugː puːʣ-ə,all reindeer-NOM.PL,all reindeer,Ilya Egorov (p.c. 2024)
GB252,Нестересьт лēв кудт альк,,nʲesʲtʲer-əsʲtʲ lʲeː-w kudː alʲkʲ,Nester‑LOC.SG be‑PRS.3PL six.NOM.SG son.NOM.SG,Nester has six sons,Burov & Egorov 2023:160
GB257,Тōнн тāтах мун альн згӣлдэдсэ вэсьт соаррьмэ?,,toːnː taːt-ax mun alʲnʲ zgʲiːɫdəd-s-ə wəsʲtʲ sɒrʲːmʲ-e,2SG.NOM want-PRS.2SG 1SG.NOM on mock-ATTN-INF before death-DAT.SG,Are you trying to mock me before I die?,UCKSPT:YuryevYuryeva2017_txt3_95
GB260,vi̮ɛлḡax sonɛn˙ bainaja,,wuəɫg-ax son-ənʲ bajna-ja,walk-PRS.2SG 3SG-COM sauna-DAT.SG,Will you go to the sauna with him?,Kert 1961:50
GB264,Уййнлэдтэпь ле аввта куэссь-не то̄нэнҍ?,,ujːn-ɫ-əd-əpʲ=lʲe awːta kuəsʲː=ɲe toːn-enʲ,see-FRQ-MID-PRS.1PL=Q again when=NEG 2SG-COM,Will we see each other again someday?,Rießler 2022
GB273,курас е̄мьперь ке̄hпьса тӣввт я̄ммпрэдтӭ,,kuras jeːmʲpʲerʲ kʲeːhpʲs-a tʲiːwːt jaːmːpr-ədʲːe,empty bucket.NOM.SG light-CMPR full bucket-PRT,An empty bucket is lighter than a full bucket,Elizaveta Grorshnikova (p.c. 2024)
GB275,тӣн пэ̄ҏҏт лӣ мо̄джьта мӣнэ,,tʲiːn pəːr̥ːt lʲiː moːʥt-a mʲiːnə,2PL.GEN house.NOM.SG be.PRS.3SG beautiful-CMPR 1PL.GEN,Your house is more beautiful than ours,Elizaveta Grorshnikova (p.c. 2024)
GB298-1,мунн эмм сāрн,,munː əmː saːrn,1SG.NOM NEG.1SG speak.CNG,I don't speak,Kuruč 1985:557
GB298-2,тōнн эгк сāрн,,toːnː əgː saːrn,2SG.NOM NEG.2SG speak.CNG,You don't speak,Kuruč 1985:557
GB298-3,сōнн эйй сāрн,,soːnː əjː saːrn,3SG.NOM NEG.3SG speak.CNG,(S)he doesn't speak,Kuruč 1985:557
GB301,Мыйй оаһкэнан ёадтэпь сыййта куэһтас.,,mɨjː ɒːhk-ən-an jɒdːəpʲ sɨjːt-a kuəht-as,1PL.NOM grandmother-COM.SG-POSS1 go-PRS.1PL village-DAT.SG two-COLL,My grandmother and I are going to the village together,UCKSPT:Mechkina2014_txt10_4
GB304,ле̄ййп лӣ е̄дма ӣннӭнҍ,,lʲeːjːp lʲiː jeːd-ma jiːnʲː-enʲ,bread.NOM.SG be.PRS.3SG slice-PST.PTCP mother-COM.SG,The bread is sliced by mother.,Ilya Egorov (p.c. 2024)
GB305,,,munː sɒːgː-ə kuːlʲ iːʥ-sʲ-an,1SG.NOM catch-PST.3SG fish.ACC.SG REFL-DAT-POSS.1,I caught a fish for myself.,Anton Buzanov (p.c. 2024)
GB306,шоабшэгке кāнҍц кāннцант,,ʃɒbʃ-əgʲːe kaːnʲʦʲ kanːʦ-ant,love-IMP.PL friend.ACC.SG friend.NOM.SG-POSS.2,Love each other!,UCKSPT:Bolshakova2003_txt18_120
