ID,Primary_Text,IPA,Analyzed,Gloss,Translation,Example_Source
GB023,Небоыс сöстöм,ɲeboɨs sɘstɘm,ɲebo-ɨs sɘstɘm,sky-DEF clean,The sky is clean,Lytkin 1962:199
GB024,куим зон,kuim zon,kuim zon,three boy,three boys,Lytkin 1962:227
GB025,Сiя местаын быдмö кыдз,sijɑ mestɑɨn bɨdmɘ kɨd͡ʑ,sijɑ mestɑ-ɨn bɨdm-ɘ kɨd͡ʑ,that place-INE grow-PRS.3SG birch_tree,A birch tree is growing on that place,Lytkin 1962:238
GB027-1,Коля Васякöт уджалöны бура,koʎɑ vɑɕɑkɘt ud͡ʒɑlɘnɨ burɑ,koʎɑ vɑɕɑ-kɘt ud͡ʒɑl-ɘnɨ bur-ɑ,kolya vasya-COM work-PRS.3PL good-DER,Kolya and Vasya work well,Lytkin 1962:182
GB027-2,колхозницаэз да челядь мунiсö ыб вылö,kolhozɲit͡sɑez da t͡ɕeʎɑɟ munisɘ ɨb vɨlɘ,kolhozɲit͡sɑ-ez da t͡ɕeʎɑɟ mun-isɘ ɨb vɨlɘ,kolkhoz.woman-PL and children go-PST.3PL field PP,kolkhoz women and children went to the field,Karavaev et al. 1940:42
GB044,киэз,kiez,ki-ez,hand-PL,hands,Lytkin 1962:181
GB046,Мошеввез,moʃevvez,moʃev-v-ez,Moshev-EP-PL,Moshev's family,Lytkin 1962:181
GB047,орсöм,orsɘm,ors-ɘm,play-NMLZ,"playing, game",Lytkin 1962:205
GB048,орсiсь,orsiɕ,ors-iɕ,play-NMLZ,player,Lytkin 1962:205
GB049,сёян,ɕojɑn,ɕoj-ɑn,eat-NMLZ,food,Lytkin 1962:205
GB065,дядьлöн зоныс,ɟɑɟlɘn zonɨs,ɟɑɟ-lɘn zon-ɨs,uncle-GEN son-POSS.3SG,uncle's son,Mayshev 1940:39
