ID,Primary_Text,IPA,Analyzed,Gloss,Translation,Example_Source
GB024,kahekšan lašta,,kahekšan laš-ta,eight child-PRT,eight children,Zaikov 2013:141
GB025,ne nuoret,,ne nuore-t,those youngster-PL,those youngsters,Zaikov 2013:127
GB027-1,vuattiet i jalačit,,vuattie-t i jalači-t,cloth-PL and footgear-PL,clothes and shoes,Zaikov 2013:223
GB027-2,läksin kouluh šukšineh,,läks-i-n koulu-h šukš-i-neh,go-PST-1SG school-ILL šukš-PL-KOM,I rode to school on a horse,Zaikov 2013:101
GB044,nuoret miehet,,nuore-t miehe-t,young-PL man-PL,young men,"Zaikov 2013:71,74"
GB047,ommella : ompelomini,,ommell-a : ompelo-mini,sew-INF1 : sew-NMLZ,to sew : sewing,Zaikov 2013:106
GB048,opaštuo : opaštuja,,opaštu-o : opaštu-ja,study-INF1 : study-AG.NMLZ,to study : student,Zaikov 2013:107
GB049,muistua : muisto,,muistu-a : muist-o,remember-INF1 : remember-NMLZ,to remember : a memory,Zaikov 2013:106
GB065,heijän poikah,,heijän poika-h,3PL.GEN son-POSS,their son,"Zaikov 2013:78,124"
GB070,lehmä antau maituo,,lehmä anta-u maitu-o,cow give-3SG milk-PRT,cow produces milk,"Zaikov 2013:75,85"
GB071,anna miula vettä,,anna miu-la vet-tä,give 1SG-ADE/ALL water-PRT,give me some water,"Zaikov 2013:75,123"
GB072,šain eklen kaverilta kirjasen,,ša-i-n eklen kaveri-lta kirjase-n,get-PST-1SG yesterday friend-ABL letter-GEN,I got a letter from a friend yesterday,"Zaikov 2013:75-76,99"
GB073,šain šiulta eklein kirjasen,,ša-i-n šiu-lta eklein kirjase-n,get-PST-1SG 2SG-ABL yesterday letter-GEN,I got a letter from you yesterday,Zaikov 2013:121-123
GB074,ennen yötä,,ennen yö-tä,before night-PRT,before the night,Zaikov 2013:222
GB075,nurkan takuana,,nurka-n takuana,corner-GEN behind,behind the corner,Zaikov 2013:220-222
GB080,voijan : voitelen,,voija-n : voite-le-n,win-1SG : fight-FRQ-1SG,to win : to fight,Zaikov 2013:211-214
GB083,kirjutan : kirjutin,,kirjuta-n : kirjut-i-n,write-1SG : write-PST-1SG,I write : I wrote,Zaikov 2013:156-160
GB089,šyön : šyöt : šyöy : šyömmä : šyöttä : šyvväh,,šyö-n : šyö-t : šyö-y : šyö-mmä : šyö-ttä : šyv-väh,eat-1SG : eat-2SG : eat-3SG : eat-1PL : eat-2PL : eat-3PL,I eat : you eat : he/she/it eats : we eat : you eat : they eat,Zaikov 2013:152
GB091,šie maltat nyt karjalakši,,šie malta-t nyt karjala-ksi,2SG understand now Karelian-TRA,you can speak Karelian now,Zaikov 2013:80
GB113,syyvä : syötteä ,,syy-vä : syö-tte-ä,eat-INF1 : eat-CAUS-INF1,eat : feed,Torikka 2009: syyvä; syötteä
GB114,venyy : venyytyy,,veny-y : veny-yty-y,stretch-3SG : stretch-REFL-3SG,he/she/it stretches : he/she/it streches,Zaikov 2013:212
GB117,koira on isänän kaveri,,koira on isäntä-n kaveri,dog be.3SG master-GEN friend,dog is masters friend,Zaikov 2013:256
GB121,olin kaččon,,ol-i-n kaččo-n,be-PST-1SG look-ACT.PST.PTCP,I had looked,Zaikov 2013:166
GB130,koululaiset leikitäh pihalla,,koululaise-t leiki-täh piha-lla,student-PL play-3PL yard-ADE/ALL,students are playing in the yard,Zaikov 2013:146
GB132,muamo keitti murkinan,,muamo keitt-i murkina-n,mother cook-PST.3SG breakfast-GEN,mother cooked breakfast,Zaikov 2013:80
GB134,"šiinä on šeimi, jo-šta lehmät šyyvväh heinyä",,"šiinä on šeimi, jo-šta lehmä-t šyyv-väh heiny-ä",there be.3SG manger REL-ELA cow-PL eat-3PL hay-PRT,there is the manger that cows are eating from,Zaikov 2013:242
GB135-1,mie muissan šen,,mie muissa-n še-n,1SG remember-1SG it-GEN,I remember it,Torikka 2009:muistoa
GB135-2,"muissan, kun meijän täti joiku",,"muissa-n, kun meijän täti joiku",remember-1SG when 1PL.GEN aunt joik.PST.3SG,"I remember, when our aunt joiked",Zaikov 2013: 224
GB139-1,et kirjuta,,e-t kirjuta,NEG-2SG write.CNG,you are not writing,Zaikov 2013:153-154
GB139-2,elä hyppyä,,elä hyppyä,NEG.IMP.2SG jump.CNG,do not jump,Zaikov 2013:174
GB140-1,en ole ollum mie kašen ajošša.,,en ole ollu-m mie kaše-n ajo-šša,NEG.1SG be.CNG be-ACT.PST.PTCP birch-GEN felling-INE,I have not been involved in birch felling.,Zaikov 2013:80
GB140-2,ei ńi miss‿ollun aijatointa,,ei ni mis ollu-n aijatoin-ta,NEG.3SG PTCL where be-ACT.PST.PTCP fenceless-PRT,there was no fenceless [field] anywhere [in Karelia],Torikka 2009:aijatoin
GB140-3,ka tämä raha ei ole šuuri,,ka tämä raha ei ole šuuri,PTCL this money NEG.3SG be.CNG big,"look, this money is not a lot",http://dictorpus.krc.karelia.ru/en/corpus/text/6055 (Uhta)
GB147,kuunnellah,,kuunnel-lah,listen-PASS,[something] is listened to,Sarhimaa 2022:284
GB155,puhištau < puhaš ,,puhiš-ta-u < puhaš ,clean-CAUS-INF1 < clean,to clean < clean (adjective),Zaikov 2013:212
GB185-1,tämä järvi on kalasa,,tämä järvi on kalasa,this lake be.3SG rich_in_fish,this lake is rich in fish,Zaikov 2013:127
GB185-2,ota nämä šankot ta tuo kotih vettä,,ota nämä šanko-t ja tuo koti-h vet-tä,take.IMP.2SG these bucket-PL and bring.IMP.2SG home-ILL water-PRT,Take these buckets and bring water home,Zaikov 2013:127
GB187-1,lintuni ,,lintu-ni ,bird-DIM ,birdie,Zaikov 2013:104
GB187-2,venehyt ,,vene-hyt ,boat-DIM,small boat; dinghy,Zaikov 2013:104
GB187-3,lapšukkaini,,lapšu-kkaini,child-DIM,small child,Zaikov 2013:104
GB193,korkie kuuši,,korkie kuuši,tall spruce,tall spruce,Zaikov 2013:111
GB203,kaikki miehet,,kaikki miehe-t,all man-PL,all the men,Zaikov 2013:134
GB204-1,kaikki miehet ollah nuotalla,,kaikki miehe-t olla-h nuota-lla,all man-PL be-3PL seine-ADE/ALL,all the men are seine fishing,Zaikov 2013:134
GB204-2,joka miehellä matašša oli ruokua,,joka miehe-llä matašša ol-i ruoku-a,every man-ADE/ALL with.INE be-PST.3SG food-PRT,every man had food with him,Zaikov 2013:134
GB204-3,leiväštä jokahińi nuottimieš haukkuau kolme kertua,,leivä-štä jokahińi nuottimieš haukkua-u kolme kertu-a,bread-ELA every seine_fisher bite-3SG three time-PRT,every seine fisher takes three bites of bread,Torikka 2009:jokahine
GB252,tytöllä on pruunit hivukšet,,tytö-llä on pruuni-t hivukse-t,girl-ADE/ALL be-3SG brown-PL hair-PL,the girl has a brown hair,Zaikov 2013:97
GB260-1,ta olit šie deputattana tiälä.,,ta ol-i-t šie deputatta-na tiälä,and be-PST-2SG 2SG deputy-ESS here,and were you a deputy here?,http://dictorpus.krc.karelia.ru/en/corpus/text/9104 (Uhta)
GB260-2,hiän oli jo kuulusa?,,hiän ol-i jo kuulusa?,3SG be-PST.3SG already famous,was he already famous?,http://dictorpus.krc.karelia.ru/en/corpus/text/9106 (Kestenga)
GB264,lähetkö šie minun kera?,,lähe-t-kö šie minun kera?,come-2SG-Q 2SG 1SG.GEN with,are you coming with me?,Zaikov 2013:226
GB273,no mintäh še šiula nyt om parempi Jumalam molinta kum miula,,no mintäh še šiula nyt om pare-mpi Jumala-m molinta kum miula,well why it 2SG.ADE/ALL now be.3SG good-CMPR God-GEN praying than 1SG.ADE/ALL,"now, why is your worship better than mine?",Torikka 2009: s. v. muistoa
GB275,pehmie : pehmiempi,,pehmie : pehmie-mpi,soft : soft-CMPR,soft : softer,Zaikov 2013:114
GB301-1,"myö Paulan keralla jäimä šiitä, n’iitä kitkömäh",,"myö Paula-n keralla jä-i-mä šiitä, n’iitä kitkö-mä-h",1PL Paula-GEN with stay-PST-1PL then those.PRT weed-INF2-ILL,then me and Paula [lit. we with Paula] were left to weed them,http://dictorpus.krc.karelia.ru/en/corpus/text/3185 (Kontokki)
GB301-2,"a myö veikon kera, Yrrön kera makasima täššä ulkoaitašša",,"a myö veiko-n kera, Yrrö-n kera makas-i-ma täššä ulkoaita-šša",and we brother-GEN with Yrjö-GEN sleep-PST-1PL this.INE granary-INE,"and me and brother Yrjö [lit. we with brother, with Yrjö] slept in this granary",http://dictorpus.krc.karelia.ru/en/corpus/text/5757 (Voknavolok)
GB305,hiän šanou iččieh vanhakši,,hiän šano-u iččieh vanha-kši,3SG say-3SG self.PRT.3SG old-TRA,he calls himself old,Zaikov 2013: 138
GB306,heposet toisieh ei šeurata,,hepose-t toisieh ei šeurata,horse-PL each_other NEG.1PL follow.CNG,the horses do not stay together,Torikka 2009:toine (Uhtua)
GB312-1,huomenekšella mie ĺienen šiellä,,huomenekše-lla mie ĺie-ne-n šiellä,tomorrow-ADE/ALL 1SG be.FUT-POT-1SG there,I will likely be there tomorrow,Torikka 2009: lie(nöy); Sarhimaa 2022: 280
GB312-2,läksisitkö šie miun kera?,,läks-isi-t-kö šie miun kera?,come-COND-2SG-Q 2SG 1SG.GEN with,would you come with me?,Zaikov 2013: 180
GB325-1,empä mie muissa montako okšoa karšittih,,e-m-pä mie muissa monta-ko okšo-a karsitt-i-h,NEG-1SG-PTCL 1SG remember.CNG many-Q branch-PRT prune-PST-PASS,I don't remember how many branches were pruned.,Torikka 2009:pohjaispuoli (Uhtua)
GB325-2,äijänkö tuli yhellä kertoa?,,äijän-kö tul-i yhe-llä kerto-a,much-Q  come-PST.3SG one-ADE/ALL time-PRT,how much did you get at once?,"Torikka 2009:-ko, -kö (Vuokkiniemi)"
GB333,"kymmenen: kakšikymmentä, kolmekymmentä, ńeĺĺäkymmentä",,kymmeneni : kakši.kymmen-tä : kolme.kymmen(tä) : ńeĺĺä.kymmen(tä),"ten : two.ten-PRT : three.ten-PRT : four.ten-PRT","ten: twenty, thirty, fourty","Torikka 2009:kymmen(en), kaksikymmen(tä), kolmekymmen(tä), neljäkymmen(tä)"
GB408-1,tuatto ošti uuvven auton,,tuatto ošt-i uuvve-n auto-n,father buy-PST.3SG new-GEN car-GEN,father bought a new car,Zaikov 2013:80
GB408-2,lempo šiut viekäh!,,lempo šiut vie-käh! ,devil 2SG.ACC take-IMP.3SG,may the devil take you,Torikka 2009:lempo(i) (Kontokki)
GB421,"pohatta veĺĺi šai tietä, jotta tuĺi keyhä veĺĺi nahkan myönnäštä",,"pohatta veĺĺi šai tietä, jotta tuĺi keyhä veĺĺi nahka-n myönnä-štä",rich brother get-PST.3SG know.INF1 COMP come-PST.3SG leather-GEN selling-ELA,the rich brother found out that the poor brother had come from selling the leather,Torikka 2009:tieteä
GB432,miun toatto,,miun toatto,1SG.GEN father,my father,Torikka 2009:luoja
GB433,veikko : veikkoni,,veikko : veikko-ni,brother : brother-POSS.1SG,brother : my brother,Zaikov 2013: 124-125
GB522-1,"pyhänäpiänä kun šynty, ni še oli Pyhikki",,"pyhä-nä_piä-nä kun šynty, ni še ol-i Pyhikki",holy-ESS_day-ESS when be_born.PST.3SG then 3SG be-PST.3SG Pyhikki,"when [a cow] was born on Sunday, it became Pyhikki",Zaikov 2013:248
GB522-2,pois lähtiessä vierahat rissitih šilmät ta šanottih,,pois lähti-e-ssä vieraha-t rissit-i-h šilmä-t ta šanott-i-h,away leave-CVB-INE guest-PL cross-PST-3PL eye-PL.ACC and say-PST-3PL,"upon leaving, the guest made a sign of the cross in front of their eyes and said",Zaikov 2013:230
