ID,Primary_Text,IPA,Analyzed,Gloss,Translation,Example_Source
GB024,,t'ot'am vӛc kugim šӛnden,t'ot'a-m vӛc kugi-m šӛnd-en,grandfather-POSS.1SG five birch-ACC plant-PRET,grandfather planted five birches,Kaškin et al. 2023:194
GB025,,cilä ti kot'i kačneštӛ,cilä ti kot'i kač-ne-štӛ,all DEM cat eat-DES-3PL,all these cats want to eat,Kaškin et al. 2023:195
GB027-1,,kat'a dä maša tolə̑nə̑t,kat'a dä maša tol-ə̑n-ə̑t,PN and PN come-PRET-3PL,Katya and Masha came,Kaškin et al. 2023:685
GB027-2,,maša ӛdӛržӛge zooparkə̑š tolə̑n,maša ӛdӛr-žӛ-ge zoopark-ə̑š tol-ə̑n,PN girl-POSS.3SG-COM zoo-ILL come-PRET,Masha came to the zoo with the daughter,Kaškin et al. 2023:97
GB044,,imn'ivläžӛ xozažə̑ amalə̑mə̑m šižӛnӛtät,imn'i-vlä-žӛ xoza-žə̑ amalə̑-mə̑-m šiž-ӛn-ӛt-ät,horse-PL-POSS.3SG owner-POSS.3SG sleep-PTCP.PASS-ACC feel-PRET-3PL-ADD,the horses saw the sleeping owner,Kaškin et al. 2023:930
GB046,,mašavlä tolə̑nə̑t,maša-vlä tol-ə̑n-ə̑t,PN-PL come-PRET-3PL,Masha and her friends came,Kaškin et al. 2023:80
GB047,,tə̑men'mӛm,tə̑men'mӛm,study-NMLZ-POSS.1SG,my study,Kaškin et al. 2023:70
GB065,,tengečӛ maša mə̑škə̑n šӛndӛmӛ mӛn'ӛn və̑rgemvlä tištӛ kiät,tengečӛ maša mə̑šk-ə̑n šӛndӛ-mӛ mӛn'-ӛn və̑rgem-vlä ti-štӛ ki-ät,yesterday PN wash-CVB put-PTCP.PASS 1SG-GEN clothes-PL this-INE lie-NPST.3PL,Here lie my clothes washed by Masha,Kaškin et al. 2023:158
GB071,,"mӛlänem izi pökenӛm puenӛt, kə̑nzalavandə̑m","mӛ-län-em izi pöken-ӛm pu-en-ӛt, kə̑nzalavandə̑-m",1SG-DAT-POSS.1SG little chair-ACC give-PRET-3PL spinning.wheel-ACC,I was given a little chair and spinning wheel,Kaškin et al. 2023:555
GB072,,"tӛ ӛrvezäšӛžӛ buk'etšӛm podarə̑š ə̑žar kost'uman učit'el'n'icə̑lan, tə̑mdə̑šə̑lan","tӛ ӛrvezäš-ӛžӛ buk'et-šӛ-m podarə̑-š ə̑žar kost'um-an učit'el'n'icə̑-lan, tə̑mdə̑-šə̑-lan",that boy-POSS.3SG bouquet-POSS.3SG-ACC gift-AOR green costume-PROP teacher-DAT teach-PTCP.ACT-DAT,That boy gifted a bouquet to the teacher wearing a green costume,Kaškin et al. 2023:555
