ID,Primary_Text,IPA,Analyzed,Gloss,Translation,Example_Source
GB024,nagür səmuʔ,,nagür səmu-ʔ,three cap-PL,three caps,Wagner-Nagy 2019:158
GB025,əmtɨ taamə maagəlʲčətə ŋanuəmənɨ ləðujču ləðitimə bəti͡ad'əʔ,,əmtɨ taa-mə maa-gəlʲčə-tə ŋanuə-mənɨ ləðuj-ču ləði-ti-mə bəti͡ad'-ə-ʔ,this reindeer-1SG.POSS what-EMPH-ADV.ELA real-ADV be.slow-AOR.3SG be.unable-AOR-1SG.OC lead.on.a.leash-EP-CN,"My reindeer is very lazy, I am not able to pull it",Wagner-Nagy 2019:102
GB027-1,kuəd'ümu ńuə ŋonəə baŋ biiʔi͡agəj,,kuəd'ümu ńuə ŋonəə baŋ bii-ʔi͡a-gəj,man child and dog go.away-AOR-3DU,The boy and the dog went away,Wagner-Nagy 2019:326
GB027-2,mənə d'esɨmə buətu d'erutuə ŋanasanəna,,mənə d'esɨ-mə buə-tu d'eru-tuə ŋanasan-ə-na,my father-1SG.POSS speak-AOR.3SG not.know-PTCP.PRS man-EP-COM,My father and the/an unknown man are talking // My father is talking with the/an unknown man,Wagner-Nagy 2019:327
GB031-1,mii,,mii,1DU,the two of us,Wagner-Nagy 2019:106
GB031-2,tii,,tii,2DU,the two of you,Wagner-Nagy 2019:106
GB031-3,sɨti,,sɨti,3DU,the two of them,Wagner-Nagy 2019:106
GB043,makəj,,ma-kəj,tent-DU,two tents,Wagner-Nagy 2019:95
GB047,ŋońd'iʔmɨə,,ŋońd'i-ʔmɨə,go.out-AN,going out,Wagner-Nagy 2019:514
GB048,kolɨðɨsji ,,kolɨðɨ-sji ,fish-AG,professional fisherman,Wagner-Nagy 2019:516
GB049,mətubsa ,,mətu-bsa ,cut-ON,scissors,Wagner-Nagy 2019:518
GB065,turubaʔatu sʲiǝ,,turubaʔa-tu sʲiǝ,big.chimney-GEN.3SG.POSS hole,the hole of his big chimney,Wagner-Nagy 2019:317
GB070,ŋuəntaʔandə mid'iʔə hotüračü,,ŋuənta-ʔa-ndə mid'i-ʔə hotüra-čü,chief-AUG-LAT give-EP-AOR.3SG letter-ACC.PL.3SG.POSS,He gave the letter to the Tsar,Wagner-Nagy 2019:396
GB073-1,fsjo ravno nagǝtǝnuʔ ńisʲiðitǝʔ kuniʔi͡agǝlʲiči čimsʲǝʔ tǝndɨčǝ,,fsjo ravno na-gǝtǝ-nuʔ ńi-sʲiði-tǝʔ kuniʔi͡a-gǝlʲiči čimsʲǝ-ʔ tǝndɨ-čǝ,all equal near-ELA-OBL.1PL.POSS NEG.AUX-FUT.RFL-3PL.RFL where-EMPH disappear-CN that-PL.2SG.POSS,"In any case, they cannot hide from us anywhere",Wagner-Nagy 2019:109
GB073-2,təti tɨŋ nanuntuʔ kumuntuə buəðu …,,təti tɨŋ na-nu-ntuʔ kumun-tuə buəðu …,that 2PL near-ADV.LOC-OBL.1PL.POSS say.what-PTCP.PRS word,What does it mean in your language…,Wagner-Nagy 2019:110
GB075,nənsuʔə maðə na,,nənsu-ʔə mað-ə na,stop-AOR.3SG tent-EP.GEN near.ADV.LAT,He stopped near the house,Wagner-Nagy 2019:153
GB083,ńilɨd'iəm,,ńilɨ-d'iə-m,live-PST-1SG,I lived,Wagner-Nagy 2019:235
GB084,hoðətə(Ɂ)suðəm ,,hoðətə-(Ɂ)suðə-m ,write-FUT-1SG,I will write,Wagner-Nagy 2019:237
GB086-1,tuuɁəm,,tuu-Ɂə-m,come-AOR-1SG,I have arrived,Wagner-Nagy 2019:223
GB086-2,ńilɨtɨm,,ńilɨ-tɨ-m,live-AOR-1SG,I live,Wagner-Nagy 2019:224
GB091,mənə ləðɨtɨmə huurəʔ,,mənə lə-ðɨ-tɨ-mə huur-ə-ʔ,1SG can-AOR-1SG.OC find-EP-CNG,I cannot find it/him/her,Wagner-Nagy 2019:230
GB093,tə bəńd'ə mɨntəlʲiʔiči,,tə bəńd'ə mɨntəlʲi-ʔi-či,well all.ACC take.with-AOR.OC.PL-3SG.OC.PL,Well he took all (the things) away with him,Wagner-Nagy 2019:230
GB113,ŋuəgüəʔ ŋanaʔsanəj tarumtumuŋhu͡anduʔ,,ŋuə-güə-ʔ ŋanaʔsan-ə-j tarum-tu-muŋhu͡a-ndu-ʔ,entity-EMPH-PL man-EP-ACC.PL be.separated-TR-HAB-AOR-3PL,Gods separate the people,Wagner-Nagy 2019:305
GB115,tak ŋətəutəküəkətumi hoðətəbüʔətu isʲüə,,tak ŋətə-u-tə-küə-kə-tu-mi hoðə-tə-büʔə-tu i-sʲüə,so see-REC-IPFV-EMPH-ITER-AOR-1DU write-IPFV-ACT-OBL.3SG.POSS be-PST.3SG,…we met each other as she studied,Wagner-Nagy 2019:303
GB117,banuʔu͡ə anikaʔa ikəbaŋhu,,ban-u-ʔu͡ə anikaʔa i-kə-baŋhu,dog-EP-AUG big.3SG be-ITER-REP.3SG,The Dog deity usually is big!,Wagner-Nagy 2019:348
